year_of_manufacture,vehicle_type,motive_power,no_vehicles,Year,File
1901,Passenger vehicles,Petrol,5,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1902,Passenger vehicles,Petrol,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1903,Passenger vehicles,Petrol,8,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1904,Passenger vehicles,Petrol,15,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1905,Passenger vehicles,Petrol,9,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1906,Passenger vehicles,Petrol,15,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1907,Passenger vehicles,Petrol,9,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1908,Passenger vehicles,Petrol,18,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1909,Passenger vehicles,Petrol,27,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1910,Passenger vehicles,Petrol,42,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1911,Passenger vehicles,Petrol,45,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1912,Passenger vehicles,Petrol,60,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1913,Passenger vehicles,Petrol,62,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1914,Passenger vehicles,Petrol,51,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1915,Passenger vehicles,Petrol,64,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1916,Passenger vehicles,Petrol,26,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1917,Passenger vehicles,Petrol,30,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1918,Passenger vehicles,Petrol,29,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1919,Passenger vehicles,Petrol,20,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1920,Passenger vehicles,Petrol,24,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1921,Passenger vehicles,Petrol,22,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1922,Passenger vehicles,Petrol,58,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1923,Passenger vehicles,Petrol,399,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1924,Passenger vehicles,Petrol,206,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1925,Passenger vehicles,Petrol,271,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1926,Passenger vehicles,Petrol,408,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1927,Passenger vehicles,Petrol,583,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1928,Passenger vehicles,Petrol,1284,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1929,Passenger vehicles,Petrol,943,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1930,Passenger vehicles,Petrol,577,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1931,Passenger vehicles,Petrol,211,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1932,Passenger vehicles,Petrol,1006,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1933,Passenger vehicles,Petrol,318,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1934,Passenger vehicles,Petrol,1116,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1935,Passenger vehicles,Petrol,448,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1936,Passenger vehicles,Petrol,499,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1937,Passenger vehicles,Petrol,536,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
